Evolución mensual de la producción de los principales productos textiles en la Provincia de Tierra del Fuego AeIAS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Período ;; Principales productos de la IndustriaTextil;;;;;;;;;;;;;;;;;;;;;;;;
;; Total; Floca; Hilado; Tejido;Tela Recubierta;Top;;Total;Tejido;Tela Recubierta;;;;;;;;;;;;;;;
;; Kilos;;;;;;;;metro lineal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dic;1.033.456;2.464;187.540;735.627;-;107.826;;602.363;227.203;375.160;;;;;;;;;;;;;;;
2024;Ene*;974.546;504;36.752;865.454;71.837;-;;690.800;249.134;441.666;;;;;;;;;;;;;;;
;Feb*;751.429;1.052;146.784;533.730;58.276;11.587;;949.584;235.306;714.278;;;;;;;;;;;;;;;
;Mar*;1.012.831;1.500;184.525;648.217;44.273;134.316;;753.026;231.756;521.270;;;;;;;;;;;;;;;
;Abr*;757.344;2.278;103.594;610.994;126;40.352;;612.840;143.311;469.529;;;;;;;;;;;;;;;
;May*;737.524;-;94.724;642.800;-;-;;1.040.381;163.480;876.901;;;;;;;;;;;;;;;
;Jun*;587.097;730;18.204;568.163;-;-;;405.391;-;405.391;;;;;;;;;;;;;;;
;Jul*;1.124.297;1.470;152.035;825.419;-;145.373;;194.993;75.664;119.329;;;;;;;;;;;;;;;
;Ago*;1.141.676;1.327;189.960;845.061;-;105.329;;222.660;92.129;130.531;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
- Dato igual a cero absoluto;;;;;;;;;;;;;;;;;;;;;;;;;;
* Dato provisorio;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Instituto Provincial de Análisis e Investigación, Estadística y Censos sobre la base de datos de Subsecretaría de Industria del Ministerio de Producción y Ambiente de la Provincia de TDF, AeIAS.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
